index,number,frn,business_name,business_address,foreign_voice_provider,country,other_frns,other_dba_names,previous_dba_names,robocall_mitigation_contact_name,contact_title,contact_department,contact_business_address,contact_country,contact_telephone_number,contact_phone_extension,implementation,voice_service_provider_choice,gateway_provider_choice,intermediate_provider_choice,last_updated,filing_url
4067,RMD0006946,31421977,Connect Cause,2121 TW Alexander Dr. Ste 124 #13 Morrisville NC 27560,No,United States of America,,,,Ahmad Eied,CEO,Administrator,2121 TW Alexander Dr. Ste 124 #13 Morrisville NC 27560,United States of America,9194498655,,No,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ca2415151b7a3410aa3cea41f54bcb2d&view=sp
1738,RMD0003673,22535090,"Connect First, Inc.",20 Davis Drive Belmont CA 94002,No,United States of America,,,,Austin Perry,Manager,TelcoNetwork,"8005 S. Chester St., Ste. #200 Centennial CO 80112",United States of America,(650) 931-6390,,Yes,Yes,No,No,2024-10-09,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b609991d1b49f0102eb2a82fe54bcbae&view=sp
6873,RMD0012418,32802472,Connect Holding II LLC,PO Box 1330 Fayetteville NC 28302,No,United States of America,0031304405;0001677541; 0001685148; 0001685429; 0001712751; 0001730886; 0001732338; 0001743541; 0001748466; 0001768449; 0001770122; 0001772482; 0001773811; 0001777036; 0001952340; 0002337244; 0002342038; 0002382570; 0002390326; 0002595247; 0002767283; 0002774487; 0002853711; 0002901551; 0002938843; 0003936952; 0004085080; 0004085098; 0004140422; 0004146585; 0004183919; 0004253373; 0004253381; 0004312153; 0004312211; 0004312229; 0004312245; 0004333688; 0004333753; 0004333779; 0004333795; 0004547006; 0004547014; 0004547022; 0004547048; 0004547055; 0004547071; 0004547089; 0004547295; 0005051743; 0005051768; 0005786223; 0005827712; 0005827787; 0006160741; 0015489941; 0015846074; 0026120907; 0026120931; 0026120980; 0026121004; 0026121020; 0026121038; 0026121335; 0026121418; 0026121475; 0026121566; 0026121665; 0026122093; 0026122580; 0026122614; 0026122655; 0026123638; 0026123778; 0026123901; 0026124206; 0026124263; 0026124818; 0026125120; 0026125526; 0026125567,Brightspeed,none,Sharman Sibia,"Director Cyber Security, Network Security",Network Operations & Cyber Security,PO Box 1330 Fayetteville North Carolina 28302,United States of America,704-314-2618,,No,Yes,No,Yes,2024-02-15,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=158879411baa5550810387bae54bcb79&view=sp
4556,RMD0007588,31422579,Connect Your Home,19109 W. Catawba Ave Suite 200 Cornelius NC 28031,No,United States of America,,,,Scott Church,CEO,,19109 W. Catawba Ave Suite 200 Cornelius NC 28031,United States of America,720-458-1577,,Partial,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4ea0316e1b7af4108d57ecace54bcba9&view=sp
9286,RMD0024316,36311579,ConnectIQ LLC,1630 30th st Boulder CO 80301,No,United States of America,,,,Betty Gateley,CEO,Operations,1630 30th st Boulder CO 80301,United States of America,(970) 406-4585,,Partial,Yes,No,No,2024-11-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=054075c5878e9610e67742e40cbb35f0&view=sp
9422,RMD0025898,18588822,"ConnectMe, L.L.C.",198 Route 9 North Suite 105 Manalapan NJ 07726,No,United States of America,,,"BBTel, Inc.",Daniel Miller,"Vice President, IT and Infrastructure",Executive Offices,2915 Ogletown Road Newark DE 19713,United States of America,206-992-2783,,Yes,Yes,No,No,2024-12-31,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ee71db31873a9210f05b63d40cbb3506&view=sp
3561,RMD0006290,13921614,ConnectTo Communications Inc.,555 Riverdale Drive Suite A Glendale CA 91204,No,United States of America,,ConnectTo,,Aram Ter-Martirosyan,CTO/CIO,IT,555 Riverdale Drive Glendale CA 91204,United States of America,8186419411,,Yes,Yes,No,No,2024-12-30,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=aea8d20f1b2e3050503110ad9c4bcbcd&view=sp
3277,RMD0005920,23419062,Connected,1 First Missouri Center Apt/Suite Creve Coeur MO 63141,No,United States of America,,,,Stephen Modesitt,CEO,Exec,6209 Mid Rivers Mall Dr Ste 157 St Peters MO 63304,United States of America,3149254887,,Partial,No,No,Yes,2024-12-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=4d78ba6a1beabc10c1bbed7ae54bcb4e&view=sp
3680,RMD0006457,31402290,"Connectica Solutions, LLC",1310 Rayford Park Rd Ste 321 Spring TX 77386,No,United States of America,0024406399,PBX On The Cloud,,Nicolas M Martinez,General Manager,Sales,1310 Rayford Park Rd Ste 321 Spring TX 77386,United States of America,3464443555,101,Partial,Yes,No,No,2024-04-06,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=19ea0d4c1b72701022e3a681f54bcb40&view=sp
5842,RMD0009298,31592850,ConnectingBlox,318 John R Rd #171 Troy Michigan 48083,No,United States of America,none,none,none,Sara Steelman,CTO,Technology,318 John R Rd #171 Troy Michigan 48083,United States of America,'+1 248 331 9526,,Yes,No,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=28aba7061baf7410031f0f21f54bcb65&view=sp
9440,RMD0025993,36493609,Connectwebx,7760 W 38TH AVE WHEAT RIDGE CO 80033,No,United States of America,,,,Heather Stockman,CEO,CEO,38th Avenue Wheat Ridge Wheat Ridge CO 80033,United States of America,4096581999,,Yes,Yes,No,No,2025-01-07,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=d6f756081bc7da104c2b877ae54bcbaf&view=sp
7223,RMD0013527,33645383,Connex One Inc.,117 NE 1st Ave Miami FL 33132,No,United States of America,none,none,none,Tony D Warding,mr,Support,117 NE 1st Ave Miami FL 33132,United States of America,'+1 978 611 1185,,Yes,Yes,Yes,No,2024-04-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3640a00b1bc6a550dcd1ed3be54bcb69&view=sp
5602,RMD0008978,24602724,"Connexsion, Inc",175-61 Hillside Ave Suite 303 Jamaica NY 11432,No,United States of America,none,none,none,David Springer,CEO,Support,175-61 Hillside Ave Suite 303 Jamaica NY 11432,United States of America,7184816400,,Yes,No,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=066595d41b1bb45093d3a820f54bcb0f&view=sp
429,RMD0001964,21919428,"Connexum, LLC",1122 E. Lincoln Ave. Suite 203 Orange CA 92865,No,United States of America,,,,Christopher Hall,Managing Member,CEO,1122 E. Lincoln Ave. Orange CA 92865 California,United States of America,714-397-3270,,Yes,Yes,No,No,2025-01-11,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=fbfc5afe1ba0fc1022e3a681f54bcb78&view=sp
4494,RMD0007497,31295132,Conquer,40087 Mission Blvd Box #338 Fremont CA 94539,No,United States of America,,,DialSource,Sean Gardner,Senior Telephony Engineer,Executive,40087 Mission Blvd Box #338 Fremont CA 94539,United States of America,609-644-8088,,Yes,Yes,No,No,2024-12-20,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3022d92a1bf2bc10b7fca93ce54bcb21&view=sp
4838,RMD0007944,31445216,Conquest Solutions,1250 Powers Ferry Common SE Marietta GA 30067,No,United States of America,,,,Lance Retter,COO,IT,1250 Powers Ferry Common SE Marietta GA 30067,United States of America,7709532500,1100,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c186e6321bba3810e4ccdb1de54bcb5a&view=sp
2179,RMD0004228,8301434,"Consolidated Communications Enterprise Services, Inc.",350 South Loop 336 West Conroe TX 77304,No,United States of America,0007494776; 0008301434; 0001652312; 0001824606; 0002147098; 0003193539; 0003708229; 0003713930; 0003723202; 0003723236; 0003723517; 0003723525; 0003772753; 0004331682; 0004333712; 0004370789; 0004491544; 0004969697; 0008301434; 0014710388; 0016022618; 0016022634; 0017551359; 0017551359,Consolidated Communications,"Consolidated Communications of Fort Bend Co.; TXU Communications; Fort Bend Telephone Co.; TXU Communications; Lufkin-Conroe Telephone Co.; Saint Joseph Telephone Co.; Florala Telephone Co.; Big Sandy Telecom, Inc.; Columbine Telecom Co., Acquisition Corp; Bentleyville Communications Corporation; Bentleyville Telephone Co.; Marianna & Scenery Hill Telephone Co; North Pittsburgh Telephone Company; China Telephone Co.; Community Service Telephone Co.; Standish Telephone Co.; Maine Telephone Co.; Sidney Telephone Co.; Northland Telephone of Maine, Inc.; Enventis; HickoryTech; Mid-Communications, Inc.; Enventis; HickoryTech; Mankato Citizen's Telephone Co.; Northland Telephone of Vermont, Inc.; FairPoint Vermont, Inc.; Bluestem Telephone Co.; Sunflower Telephone Co. - CO/KS; Chouteau Telephone Co.; El Paso Telephone Co.; C-R Telephone Co.; Odin Telephone Exchange Inc.; Illinois Consolidated Telephone Co.; SureWest Telephone Company; Roseville Telephone Company; ExOp Of Missouri, Inc.; Unite; SureWest Televideo; Crystal Communications, Inc.; IdeaOne Telecom, Inc.; Penn Telecom, Inc.; Enventis Telecom, Inc.; Consolidated Communications Telecom Services, Inc.; Consolidated Communications Network Services, Inc.; TXU Communications Telecom Services, Inc.; TXU Communications Network Services, Inc.; Lufkin-Conroe Telecom Services, Inc.; Lufkin-Conroe Network Services, Inc.; Fairpoint Communications Missouri, Inc.; Cass County Telephone Co.; Northern New England Telephone Operations, LLC � ME; Northern New England Telephone Operations, LLC � NH; Enhanced Communications of Northern New England, Inc.; Telephone Operating Co. Of Vermont LLC",Bryan Lamphere,Senior Vice President,Business Intelligence,266 Main St. Burlington VT 55807,United States of America,(603) 656-8214,,Partial,Yes,No,Yes,2024-07-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9a1ec7611b09b4102eb2a82fe54bcb0e&view=sp
1234,RMD0003007,3740396,"Consolidated Communications Networks, Inc.",507 S. Main PO Box 1408 Dickinson ND 58602,No,United States of America,,,,Jeremy Witte,Network Manager,Network,507 S. Main Dickinson ND 58602,United States of America,701-483-7358,,Partial,Yes,No,No,2024-11-04,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3e9477e71b78b05064c4426de54bcb61&view=sp
6243,RMD0010505,27761279,"Consolidated Fiber, Inc.",5255 St Rt 95 Mount Gilead OH 43338,No,United States of America,,,,Jarred Davis,Broadband Network Manager,Operations,4993 State Route 521 Delaware OH 43015,United States of America,419.949.2945,,No,Yes,No,No,2024-08-16,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9dacf2d51b8e451002beea82f54bcba2&view=sp
2056,RMD0004075,16083198,"Consolidated Smart Broadband Systems, LLC",620 W. 135th Street Gardena CA 90248,No,United States of America,,Smartaira,,Donavan DeBusk,Network Engineer,Engineering,620 W. 135th Street Gardena CA 90248,United States of America,310-200-6243,,Yes,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2f8792611b4974107ccf20ecac4bcb49&view=sp
921,RMD0002591,2388247,"Consolidated Telco, Inc.",6900 Van Dorn Ste 21 PO Box 6147 Lincoln NE 68506,No,United States of America,0002393411 0004961231 0004961272 0029906476 0005084058 Old,The Curtis Telephone Co Inc Consolidated Telephone Company Consolidated Telecom Inc Sodtown Communications Inc,Sodtown Telephone Company,Charles Fast,Vice President,,6900 Van Dorn Ste 21 Lincoln NE 68506,United States of America,866-374-7397,,No,Yes,No,No,2024-02-21,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9c69bf321b783c107ccf20ecac4bcb77&view=sp
1232,RMD0003005,2476281,Consolidated Telcom,507 South Main PO Box 1408 Dickinson ND 58602,No,United States of America,,,,Jeremy Witte,Network Manager,Network,507 South Main Dickinson ND 58602,United States of America,701-483-7358,,Partial,Yes,No,No,2024-11-04,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c4137b271b78b05064c4426de54bcb2e&view=sp
1099,RMD0002849,3742467,Consolidated Telephone Company,1102 Madison Street PO Box 972 Brainerd MN 56401,No,United States of America,none,none,none,Eric Gibson,Operations Manager,Operations,1102 Madison Street Brainerd MN 56401,United States of America,2184541173,,Partial,Yes,No,No,2024-11-07,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=1bfe2e531b38bc102eb2a82fe54bcb0f&view=sp
8828,RMD0021800,35529064,Constellate Group LLC,805 Broadway Suite 1000 Vancouver WA 98660,No,United States of America,,Constellate,,Chris Bardos,President,Compliance,805 Broadway Suite 1000 Vancouver WA 98660,United States of America,3605835550,,Yes,Yes,No,No,2024-06-07,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=ff5810531ba68650df7954e2604bcb8a&view=sp
6978,RMD0012634,33164211,"Constellation Technology Solutions, Inc",11350 McCormick Rd EP3 Suite 200 Hunt Valley MD 21031,No,United States of America,,Axacore,,Paul La Motte,Account Manager,Support,11350 McCormick Rd EP3 Suite 200 Hunt Valley MD 21031,United States of America,858-427-4301,,Yes,Yes,No,No,2022-12-08,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c979ec531baf9d1093d3a820f54bcb6a&view=sp
2379,RMD0004551,22560338,Constructure Technologies LLC,425 Broad Hollow Rd Melville NY 11747,No,United States of America,,,,Joseph Keegan,Principal & CTO,Telecommunications,425 Broadhollow Rd Suite 425 Melville NY 11747,United States of America,'+631-396-7777,,No,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=b9aa13f11b8138102eb2a82fe54bcb62&view=sp
4990,RMD0008137,25515412,Consumer 2.0,"6300 Wilshire Blvd, Suite 620 Los Angeles California 90048",No,United States of America,,Rently,,Clark Li,CTO,IT,1090 Avenida Acaso Camarillo CA 93012,United States of America,8883406340,,Yes,No,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=78767bbe1b7e3810e4ccdb1de54bcb97&view=sp
5563,RMD0008919,31506942,"Consumer Agent Portal, LLC dba TrustedChoice.com",6066 Shingle Creek Pkwy PMB #1182 Brooklyn Center MN 55430,No,United States of America,,TrustedChoice.com,,Michael Wnek,SVP Operations,Corporate,6066 Shingle Creek Parkway PMB #1182 Brooklyn Center MN 55430,United States of America,414-477-0440,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=cd035bab1b8f34509ac2ea04bc4bcb9f&view=sp
8265,RMD0019051,17078262,"Consumer Cellular, Inc.",12447 SW 68th Avenue Portland OR 97223,No,United States of America,,,,Greg Hughes,Vice President,Portfolio Strategy,9363 E. Bahia Drive Scottsdale AZ 85260,United States of America,(972) 740-2261,,No,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=6ae4346287e48a104d94a75e3fbb35d7&view=sp
2732,RMD0005098,6057293,"Consumer Telcom, Inc.",170 South Green Valley Parkway Suite 300 Henderson NV 89012,No,United States of America,,,,Joseph A Nicotra,President,,170 South Green Valley Parkway Suite 300 Henderson NV 89012,United States of America,8008723811,,No,Yes,No,No,2024-02-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=92a92ac01b0af450c8e0ed3ce54bcbb1&view=sp
6855,RMD0012371,32033474,Contact America LLC,881 Baxter Drive Suite 100 South Jordan UT 84095,No,United States of America,,,,Francis Waters,(844)966-4970,NOC,"881 Baxter Drive, Suite 100 South Jordan UT 84095",United States of America,(844) 966-4970,,No,Yes,No,No,2022-10-05,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=24ab7ae61bdedd10810387bae54bcb17&view=sp
258,RMD0001750,26671081,Contact Center Specialists LLC,1712 Pioneer Ave STE 948 Cheyenne WY 82001,No,United States of America,,,,Michael Henderson,Vendor Relations Manager,Carrier Relations,1712 Pioneer Ave Cheyenne WY 82001,United States of America,888-992-6682,232,Yes,Yes,No,Yes,2024-03-04,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=8ccefde01b64341022e3a681f54bcbe9&view=sp
8196,RMD0018707,7797590,Contact Communications,937 W. Main Street Riverton WY 82501,No,United States of America,,,,Network Operations Center,Engineer,Engineering,937 W. Main Street Riverton WY 82501,United States of America,307-857-1092,,Yes,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=abb5802a1b60ca10d44642e2b24bcbcd&view=sp
6058,RMD0009765,21231477,Contact Communications Inc,142 Avenue C Williston VT 05495,No,United States of America,,,Lincoln Communications /dba Contact communications,Paul Wells,Technoloy Director,IS,142 Avenue C Williston VT 05495,United States of America,8028600000,,No,Yes,No,No,2024-04-10,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=a9330c0d1bc54510823a419ae54bcb81&view=sp
6558,RMD0011425,32327363,Content Guru Inc.,"Suite 510  900 E. Hamilton Avenue   California, United States",No,United States of America,,,,Jason Dyson,Chief Information Security Officer (CISO),Information Security Department,12120 Sunset Hills Rd Suite 150 Reston VA 20190,United States of America,202-449-2857,,No,Yes,No,Yes,2024-12-19,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=028d6bc21bc89150544a404fe54bcbe3&view=sp
7326,RMD0013748,33707092,Content Pro LLC,3338 N Highway 78 Suite 3 Wylie TX 75098,No,United States of America,,,,Tyler Anderson,President,Management,3338 N Highway 78 Suite 3 Wylie TX 75098,United States of America,2145435960,,Yes,Yes,No,No,2024-12-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5a169ee01b8ba510aa3cea41f54bcb3e&view=sp
3572,RMD0006309,27933050,Content+Cloud Corporation,99 Wall Street #280 New York NY 10005,No,United States of America,,SIPCOM,,Patricija Nasirovaite,Risk and Compliance Director,Legal and Compliance,99 Wall Street New York NY 10009,United States of America,718-766-7960,,Yes,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0354c5171b2a3050ca5aec21f54bcb4a&view=sp
2457,RMD0004657,9750324,"Conterra Ultra Broadband, LLC",5301 77 Center Drive Charlotte NC 28217,No,United States of America,"0008228124, 0008763179, 0027048453, 0010198877, 0013324066",Conterra Networks,,Dawna K. Hannan,CP - Telecom Regulatory,Telecom Regulatory,5301 77 Center Drive Charlotte NC 28217,United States of America,704-936-1805,,Yes,Yes,No,No,2024-12-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=c71fbbb11bcdf4109294113d9c4bcbe1&view=sp
2345,RMD0004508,26618306,"Continental Divide Electric Cooperative, Inc.",PO Box 1087 Grants NM 87020,No,United States of America,none,none,none,Danny Stokes Jr.,IT Manager,IT,200 E High St. Grants NM 87020,United States of America,5052856656,1026,No,Yes,No,No,2024-02-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=54c94b751b81f41002beea82f54bcb71&view=sp
1824,RMD0003777,2926483,Continental Telephone Company,525 Junction Road MADISON WI 53717,No,United States of America,see list in attached PDF,TDS,,Joe Kramschuster,Senior Manager � Product Management,Marketing & Customer Operations,525 Junction Road MADISON WI 53717,United States of America,608-577-7897,,Partial,Yes,No,No,2025-01-10,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=51d03e1d1b89341064c4426de54bcb79&view=sp
8894,RMD0021922,35490721,"Continuant, Inc.",5050 20th St E Fife WA 98424,No,United States of America,,,"Telecom Labs, Inc.",Joel Andrew Keene,"Product Manager, Continuant Connect",Continuant Connect,5050 20th St E Fife WA 98424,United States of America,2534702647,,Yes,Yes,No,No,2024-06-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=04a30fd51b8f0e104c2b877ae54bcb11&view=sp
4478,RMD0007476,31438336,Continuum Technology Group,5821 Breconshire Dr Fort Wayne IN 46804,No,United States of America,,Non,,Conner Lipp,Owner,Admin,5821 Breconshire Dr Fort Wayne IN 46804,United States of America,2604334503,,Yes,Yes,No,No,2024-04-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3ae789aa1bbaf4105eb762cfe54bcb45&view=sp
5995,RMD0009657,30293906,Contivio.com Corporation,2211 Michelson Drive Suite 320 Irvine CA 92612,No,United States of America,,,,Rita Guirguis,VP Finance & Operations,Finance,"2211 Michelson Drive, Suite 320 Irvine CA 92612",United States of America,800 282 8105,,Partial,Yes,No,No,2024-12-17,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=3f59e0251b18491093d3a820f54bcb96&view=sp
6006,RMD0009677,31732878,Contravoip LLC,1100 Town and Country PO Box 1450 Orange CA 92868,No,United States of America,,,,Jose Munguia,Owner,Csr,1100 Town and Country rd Orange CA 92868,United States of America,7142048767,,No,Yes,Yes,No,2023-02-24,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=e0f11b0b1bdcc910544a404fe54bcb9c&view=sp
9174,RMD0023437,36080695,ControVOIP LLC,1209 MOUNTAIN ROAD PL NE STE R ALBUQUERQUE NM 87110,No,United States of America,,,,Kumar Harsh,CEO,IT,1209 MOUNTAIN ROAD PL NE STE R ALBUQUERQUE NM 87110,United States of America,'+1 5054416173,,Partial,Yes,No,No,2024-10-13,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=2db7842b1b8912504911404fe54bcbde&view=sp
3897,RMD0006732,31415482,Controlled Network Solutions LLC.,325 S. River St. Hackensack NJ 07601,No,United States of America,,Sipnetworks.com phonesys.com,,Ramon Sanchez,CEO,Telephony,325 S. River ST. Hackensack` NJ 07601,United States of America,2017518001,,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=811b4f3c1bf6f01022e3a681f54bcb8a&view=sp
5654,RMD0009051,11951522,"ConvergeOne, Inc.",10900 Nesbit Ave S NA Bloomington MN 55437,No,United States of America,0024049892  0017763780  0012659850; 0036282606,,"Annese & Associates  Strategic Products and Services LLC  NuAge Experts  AAA Network Solutions Inc  Altivon  Venture Technologies  Advantel Networks  ARROW SYSTEMS INTEGRATION  Alexander Open Systems (AOS)  Rockefeller Group Technology Solutions (RGTS).  SIGMAnet  Mountain States Networking  Sunturn  Spanlink  G3 Technologies  iTrus Technologies, Inc  North American Communication Resource (NACR)  Combest  S1 IT Solutions  Empire Technologies  NorthPark  SimpliCTI",Ryan Nye,Contract Administrator,Legal,10900 Nesbit Ave S NA Bloomington MN 55437,United States of America,'+1 952.456.3826,,No,Yes,No,No,2024-12-23,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=12d52aa11b5bb0109c00db1ee54bcbc9&view=sp
2941,RMD0005410,31298516,ConvergeTel LLC,"112 Capitol Trail Suite A Newark, DE, 19711 Newark DE 19711",No,United States of America,,,,Samad Saeed,Director,Management,"112 Capitol Trail Suite A Newark, DE, 19711 Newark DE 19711",United States of America,3476880922,,Yes,Yes,No,No,2024-12-10,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=f3e6a4911b527010823a419ae54bcbff&view=sp
1643,RMD0003548,18737684,Converged Networks. LLC,2 Still Shadow Drive Suite G Charleston SC 29414,No,United States of America,,,,Chris Norris,Senior VoIP Engineer,IT,2 Still Shadow Drive Suite G Charleston SC 29414,United States of America,336-962-6103,,Yes,Yes,No,No,2024-12-18,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=415414191b41f01064c4426de54bcb71&view=sp
3923,RMD0006764,31416456,Convergence Communications,9450 SW Gemini Dr Beaverton OR 97008,No,United States of America,none,,,Alejandro Rosillo,Voip Engineer,Voice Network,9450 SW Gemini Dr Beaverton OR 97008,United States of America,8584442942,,No,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=9c47bb381b7ab410b7fca93ce54bcb5c&view=sp
4826,RMD0007929,31444995,Convergence Technology Solutions COrp.,47-657 KAMEHAMEHA HWY KANEOHE HI 96744,No,United States of America,,,,Glenn P Requierme,Director,IT,47-657 KAMEHAMEHA HWY KANEOHE HI 96744,United States of America,5622606205,,No,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=0c20eefe1bbe3810d39dddb6bc4bcb73&view=sp
4280,RMD0007220,31427743,Convergent Software,900 County Road 950 Calhoun TN 37309,No,United States of America,,Convergent Communications,,David Jensen,CEO,Administration,900 County Road 950 Calhoun TN 37309,United States of America,8632293099,,No,Yes,No,No,2024-04-26,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=38d0e6a51bba7410d39dddb6bc4bcbb3&view=sp
4817,RMD0007918,31444946,"ConvergentWorks, LLC",5850 Waterloo Road Suite 140 Columbia MD 21045,No,United States of America,,,,Michael Witlin,Managing Director,Corp,5850 Waterloo Road Suite 140 Columbia MD 21045,United States of America,4102980555,801,Yes,Yes,No,No,,https://fccprod.servicenowservices.com/rmd?id=rmd_form&table=x_g_fmc_rmd_robocall_mitigation_database&sys_id=5afc56b61bb278103125a64ce54bcbac&view=sp
