index,frn,business_name,contact_telephone_number,business_address,contact_business_address,implementation
1248,0005792700,"Berkeley Cable Television, Inc. d/b/a Home Telecom",8437619171,"579 Stoney Landing Rd
PO Box 1194
Moncks Corner SC 29461","579 Stoney Landing Rd
Moncks Corner SC 29461",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1249,0031072507,Freedom Mobile Inc.,'+18882790909,"900, 630  3rd Avenue SW
Alberta T2P 4L4 Calgary, Canada","900, 630  3rd Avenue SW
Calgary 00000
Alberta",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1250,0003772241,"Northern Colorado Communications, LLC",9704837300,"PO Box 206
Wiggins CO 80654","PO Box 206
Wiggins CO 80654",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1251,0001664481,"Dell Telephone Cooperative, Inc.",915-964-2352,"610 S. Main St.
Dell City TX 79837","610 South Main St., P.O. Box 67
Dell City TX 79837",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1252,0030876817,IT Vocal LLC,702-935-2600,"304 S Jones Blvd
Ste 2600
Las Vegas NV 89107","304 S Jones Blvd
Ste 2600
Las Vegas NV 89107",Complete STIR/SHAKEN Implementation
1253,0002592509,"Radcliffe Telephone Company, Inc.",515-899-2341,"202 Isabella St.
PO Box 140
Radcliffe IA 50230","202 Isabella St., P.O. Box 140
Radcliffe IA 50230",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1254,0008884637,Axxis Communication Inc.,5413873701,"PO Box 1107
Hood River OR 97031","PO Box 1107
Hood River OR 97031",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1255,0031075518,KT Corporation (Korea Telecom),'+821095820070,"178 Sejong-daero
  Seoul, South Korea","178 Sejong-daero
  Seoul, South Korea",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1256,0022854970,"Apeiron Systems, Inc.",3107050050,"728 Cypress Ave
Hermosa Beach CA 90254","500 N. Central Expressway, Suite 202
Dallas TX 75074",Complete STIR/SHAKEN Implementation
1257,0004331724,"Northern Telephone Cooperative, Inc.",406-937-2114,"121 1st St N
PO Box 190
Sunburst MT 59482","121 1st St N
PO Box 190
Sunburst MT 59482",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1258,0022956361,"CallFire, Inc.",7578796275,"548 Market Street
Suite 44523
San Francisco CA 94104","548 Market Street
Suite 44523
San Francisco CA 94104",Complete STIR/SHAKEN Implementation
1259,0031076185,SOUTH SEASON INTERNATIONAL CARRIER SERVICES  OU,'+32467709799,"Harju maakond,, Kesklinna linnaosa, Ahtri tn 12
talinn 1080 Tallinn, Estonia","null
null
talinn",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1260,0031072226,"TALKTONE, INC.",408-431-5420,"5268 APENNINES CIR
SAN JOSE CA 95138","5268 APENNINES CIR
SAN JOSE CA 95138",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1261,0031076482,Zain Global Communications Services S.P.C,'+96524644444,"Flat 121, Building 401, Road 2806, Block 428
  Alseef, Bahrain","Zain Group Head Office Bldg 2 Airport Road,
Shuwaikh, 22244
Shuwaikh",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1262,0031076573,"Dingtone, Inc.",'+1-4084315420,"Simmonds Building, Wickhams Cay 1,P.O.Bo
Tortola VI 01110","710 Lakeway Dr. Suite 280
Sunnyvale CA 94085",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1263,0031076672,Telekom Romania Communications,'+40766505276,"Piata Presei Libere 3-5
  Bucharest, Romania","Piata Presei Libere 3-5
  Bucharest, Romania",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1264,0031063035,"Chunghwa Telecom Co., Ltd. International Business Group",'+886-2-23445008,"Room 203 Business Building, #31, Aikuo East Road
 106 Taipei, Taiwan","Room 203 Business Building, #31, Aikuo East Road
 106 Taipei, Taiwan",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1265,0004381281,"Kalida Telephone Co., Inc.",4195323218,"121 E. Main St.
PO Box 267
Kalida OH 45853","121 E. Main St.
Kalida OH 45853
OH",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1266,0018569533,"TISD, Inc.",3615731102,"3001 N Cameron
Victoria TX 77901","3001 N Cameron
Victoria TX 77901",Complete STIR/SHAKEN Implementation
1267,0003737673,"Service Electric Cablevision, Inc.",6104322210,"4949 Liberty Lane
Suite 400
Allentown PA 18106","4949 Liberty Lane
Suite 400
Allentown PA 18106",Complete STIR/SHAKEN Implementation
1268,0003764545,"H&B Cable Service, Inc.",785-252-4000,"108 N Main St.
PO Box 108
Holyrood KS 67450","108 N Main St.
Holyrood KS 67450",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1269,0031063506,The Kalson Inc Limited,N/A,"42 Hillington Road
 UB10 0AD UXBRIDGE, United Kingdom","null
null",N/A
1270,0018511246,VDL INC d/b/a Global Telecom Brokers,4105176920,"500 Redland Ct
suite 309
Owings Mills MD 21117","500 Redland Ct
suite 308
Owings Mills MD 21117",Complete STIR/SHAKEN Implementation
1271,0002590057,Winnebago Cooperative Telecom Association,641-592-6105,"704 E Main
Lake Mills IA 50450","704 E Main
Lake Mills IA 50450",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1272,0001646587,"Mid-Rivers Telephone Cooperative, Inc.",4066877338,"904 C Avenue
PO Box 280
Circle MT 59215","105 Seven Mile Dr
Glendive MT 59330",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1273,0003747409,"Cooperative Communications, Inc.",973-759-8100,"412-420 Washington Avenue
Belleville NJ 07109","412-420 Washington Avenue
Belleville NJ 07109",Complete STIR/SHAKEN Implementation
1274,0006011472,LENOX MUNICIPAL UTILITIES,6413332550,"205 SOUTH MAIN STREET
LENOX IA 50851","205 SOUTH MAIN STREET
LENOX IA 50851",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1275,0020434767,"Cellular South Licenses, LLC",601-487-5203,"1018 Highland Colony Parkway
Suite 700
Ridgeland MS 39157","1018 Highland Colony Parkway
Ridgeland MS 39157",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1276,0022348106,"Teklinks, Inc.",601-487-5203,"201 Summit Parkway
Birmingham AL 35209","1018 Highland Colony Parkway, Suite 700
Ridgeland MS 39187",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1277,0023595325,"Hayo Telecom, Inc.",'+1 (212) 461-1893,"1501 Broadway, 12th Floor
New York NY 10036","1501 Broadway 12th Floor
New York NY 10036",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1278,0025815440,"DID Logic, INC.",'+1 917 870 6477,"906 W. 2nd Ave
STE 100
Spokane WA 99201","STE 100, 906 W, 2nd Ave Spokane
Spokane WA 99201
WASHINGTON",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1279,0006221287,"Harbor Communications, LLC",601-487-5203,"1018 Highland Colony Parkway
Suite 330
Ridgeland MS 39157","1018 Highland Colony Parkway, Suite 700
Ridgeland MS 39187",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1280,0003806668,"Telepak Networks, Inc.",601-487-5203,"1018 Highland Colony Parkway
Suite 410
Ridgeland MS 39157","1018 Highland Colony Parkway
Ridgeland MS 39157",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1281,0008725491,"Callis Communications, Inc.",601-487-5203,"1018 Highland Colony Parkway
Suite 700
Ridgeland MS 39157","1018 Highland Colony Parkway
Ridgeland MS 39157",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1282,0016088882,"IP Networked Services, Inc.",5134023687,"1950 Hassell Road
Hoffman Estates IL 60169","2525 SW First Ave.
Portland OR 97201",Complete STIR/SHAKEN Implementation
1283,0031063852,ORANGE ESPANA COMUNICACIONES FIJAS SL,'+34607784106,"Paseo del Club Deportivo, 1 La Finca Edificio 5
Madrid 28223 Pozuelo de Alarcon, Spain","Paseo del Club Deportivo, 1 La Finca Edificio 5
Madrid 28223 Pozuelo de Alarcon, Spain",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1284,0002432672,"Alliance Communications Cooperative, Inc.",605.594.3411,"612 Third St.
P.O. Box 349
Garretson SD 57030","612 3rd St
Garretson SD 57030",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1285,0001687557,Southwest Texas Telephone Company,830.683.1939,"939 South Texas Hwy 55
PO Box 128
Rocksprings TX 78880","939 South Texas Hwy 55
Rocksprings TX 78880",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1286,0020756599,"Ewart Technologies, Inc.",8772411490,"15751 Sheridan Street
#160
Ft. Lauderdale FL 33331","15751 Sheridan Street
Ft. Lauderdale FL 33331",Complete STIR/SHAKEN Implementation
1287,0004381422,Citizens Telephone Cooperative,540.745.9518,"220 Webbs Mill Road
P O Box 137
Floyd VA 24091","220 Webbs Mill Road
Floyd VA 24091",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1288,0003720968,Geneseo Telephone Company,309.944.2103,"111 East First Street
PO Box 330
Geneseo IL 61254","111 East First Street
Geneseo IL 61254",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1289,0031069321,S-Net Communications Inc.,7733211500,"1100 Woodfield Rd. Suite 101
Schaumburg IL 60173","1100 Woodfield Rd. Suite 101
Schaumburg IL 60173",Complete STIR/SHAKEN Implementation
1290,0010480978,Allo Communications LLC,308-633-7975,"610 Broadway
Imperial NE 69033","610 Broadway
Imperial NE 69033",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1291,0019679562,"Myakka Communications, Inc.",941-322-2916,"28902 101 Dr East
Myakka City FL 34251","10105 284th st e
Myakka City FL 34251",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1292,0020296638,"SwiftReach Wholesale Services, LLC",317-549-6704,"492 Old Connecticut Path, Suite 200
Framingham MA 01701","500 W Monroe St
Ste 4400
Chicago IL 60661",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1293,0027749852,"NISHNANET, LLC",7122432497,"2 E 6th St
PO BOX 401
Atlantic IA 50022","2 E 6th St
Atlantic IA 50022",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1294,0005061627,Sand Creek Telephone Company,5174363130,"6525 Sand Creek Highway
PO Box 66
Sand Creek MI 49279","6525 Sand Creek Highway
Po Box 66
Sand Creek MI 49279",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1295,0003757341,"Buckeye Cablevision, Inc.",610-355-9710,"2700 Oregon Road
Northwood OH 43619","2700 Oregon Road
Toledo OH 43619",Complete STIR/SHAKEN Implementation
1296,0009846494,"Hotwire Communications, Ltd.",(954) 406-1154,"3 Bala Plaza East
Suite 700
Bala Cynwyd PA 19004","2100 West Cypress Creek Road
Fort Lauderdale FL 33309",Complete STIR/SHAKEN Implementation
1297,0003754785,"Service Electric Cable TV, Inc.",610-625-8669,"2200 Avenue A
Bethlehem PA 18017","2200 Avenue A
Bethlehem PA 18018",Complete STIR/SHAKEN Implementation
1298,0001789064,T V Service Inc,606-438-9533,"PO Box 1410
Hindman KY 41822","60 Communications Lane
Hindman KY 41822",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1299,0031051907,Bell Canada,'+7808506773,"160 Elgin Floor 19
Ontario K2P 2C4 Ottowa, Canada","160 Elgin Floor 19
Ontario K2P 2C4 Ottowa, Canada",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1300,0002598225,Jefferson Telephone Company,515-386-2310,"105 West Harrison Street
PO Box 269
Jefferson IA 50129","105 W. Harrison Street, P.O. Box 269
Jefferson IA 50129",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1301,0006770333,Sand Creek Toll Service Company,5174363130,"6525 Sand Creek Highway
PO Box 66
Sand Creek MI 49279","6525 Sand Creek Highway
Sand Creek MI 49279",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1302,0002713683,"Chequamegon Communications Cooperative, Inc.",7157983303,"43705 US Hwy 63
P.O. Box 67
Cable WI 54821","43705 US Hwy 63
P.O. Box 67
Cable WI 54821",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1303,0003744125,Price County Telephone Company,7157983303,"43705 US Hwy 63
PO Box 67
Cable WI 54821","43705 US Hwy 63
PO Box 67
Cable WI 54821",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1304,0008952426,DLS Computer Services,8478544799,"950 Oak Street
Lake in the Hills IL 60156","950 Oak Street
Lake in the Hills IL 60156",Complete STIR/SHAKEN Implementation
1305,0003744133,"Price County Information Systems, Inc.",7157983303,"43705 US Hwy 63
PO Box 67
Cable WI 54821","43705 US Hwy 63
PO Box 67
Cable WI 54821",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1306,0007734387,"Norvado, Inc.",7157983303,"1025 Connecticut Ave., NW
Suite 1000
WASHINGTON DC 20036","43705 US Hwy 63
PO Box 67
Cable WI 54821",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1307,0005010996,"Totah Communications, Inc.",9185352208,"101 S Ochelata St.
PO Box 300
Ochelata OK 74051","101 S. Ochelata Street
Ochelata OK 74051",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1308,0004329538,CITIZENS TELEPHONE CORP,260.375.2111,"426 N WAYNE ST
PO Box 330
WARREN IN 46792","426 N WAYNE ST
WARREN IN 46792",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1309,0004927802,Upper Peninsula Telephone Co,9066391000,"397 US 41 N
P.O. Box 86
Carney MI 49812","397 US 41 N
Carney MI 49812",Complete STIR/SHAKEN Implementation
1310,0005093224,Farmers Mutual Telephone Company,989-661-2476,"19994 W Ridge Rd
Elsie MI 48831","19994 W Ridge Rd
Elsie MI 48831",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1311,0021672852,Michigan Central Broadband Company,9066391000,"397 U.S. Hwy 41 N
P. O. Box 86
Carney MI 49812","397 U.S. Hwy 41 N
Carney MI 49812",Complete STIR/SHAKEN Implementation
1312,0024146821,"Echo IT Consulting, LLC",9705853246,"2800 Cornerstone Drive B1U1
Pagosa Springs CO 81147","2800 Cornerstone Drive B1U1
Pagosa Springs CO 81147",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1313,0026575852,Snapcom LLC,3144998500,"12444 Powerscourt Dr.
Suite 270
St. Louis MO 63131","12444 Powerscourt Dr.
Suite 270
St. Louis MO 63131",Complete STIR/SHAKEN Implementation
1314,0029670247,"TriCoLink, Inc.",803-874-1215,"6473 Old State Rd.
St. Matthews SC 29135","6473 Old State Rd.
St. Matthews SC 29135",Complete STIR/SHAKEN Implementation
1315,0015024946,"Big Bend Telecom, LTD",4323640200,"808 North Fifth Street
Alpine TX 79830","808 North Fifth Street
Alpine TX 79830",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1316,0007632375,NovoLink Communications Inc.,2816524888,"699 S. Friendswood Drive
Suite 103
Friendswood TX 77546","699 S. Friendswood Drive
Friendswood TX 77546",Complete STIR/SHAKEN Implementation
1317,0005077730,"Advantage Telecommunications, Corp.",(800) 435-9217,"3001 Aloma Avenue, Suite 304
Winter Park FL 32792","3001 Aloma Avenue, Suite 304
Winter Park FL 32792",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1318,0015832652,"NobelBiz, Inc.",8006017411,"1507 Carey Avenue
Suite 4
Cheyenne WY 82001","1507 Carey Avenue
Cheyenne WY 82001",Complete STIR/SHAKEN Implementation
1319,0002723732,Amherst Telephone Company,715-824-5529,"120 Mill St
PO Box 279
Amherst WI 54406","120 Mill Street
Amherst WI 54406",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1320,0004979688,City of Brookings Telephone Fund,6056978205,"525 Western Ave
PO Box 588
Brookings SD 57006","415 4th Street
Brookings SD 57006",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1321,0005003025,"Reduced Rate Long Distance, LLC",(800) 435-9217,"1800 Pembrook Drive, Suite 300
Orlando FL 32810","1800 Pembrook Drive, Suite 300
Orlando FL 32810",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1322,0031041445,Verizon UK Limited,'+1-800-229-7427,"22000 Aol Way
Dulles VA 20166","7000 Weston Pkwy
Cary NC 27513
NC",Complete STIR/SHAKEN Implementation
1323,0004924478,"Taylor Telephone Cooperative, Inc.",325-846-4155,"9796 N I-20
PO Box 370
Merkel TX 79536","9796 N I-20
Merkel TX 79536",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1324,0007705916,Cima Telecom,3059518656,"1728 SW 22nd Street
Suite 600
Miami FL 33145","1728 SW 22nd Street
Suite 600
Miami FL 33145",Complete STIR/SHAKEN Implementation
1325,0004337416,"Reliant Communications, Inc.",(800) 435-9217,"801 International Parkway
5th Floor
Lake Mary FL 32746","801 International Parkway
Lake Mary FL 32746",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1326,0004287538,"Magazine Telephone Company, Inc.",4799692211,"25 Magtel Drive
PO Box 596
Booneville AR 72927","25 Magtel Drive
PO Box 596
Booneville AR 72927",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1327,0004319372,"Wikstrom Telephone Company, Inc.",218-436-5203,"222 South Main Street
PO Box 217
Karlstad MN 56732","222 South Main Street
Karlstad MN 56732",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1328,0001756089,"Millry Telephone Co., Inc.",251-846-2911,"30433 Hwy 17
P.O. Box 561
Millry AL 36558","30433 Hwy 17
Millry AL 36558",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1329,0018854935,"Atlantech Online, Inc.",3015893060,"1010 Wayne Ave
Suite 630
Silver Spring MD 20910","1010 Wayne Ave
Suite 630
Silver Spring MD 20910",Complete STIR/SHAKEN Implementation
1330,0031040785,Verizon Asia Pacific Holdings Pte. Ltd.,'+1-800-229-7427,"22000 Aol Way
Dulles VA 20166","7000 Weston Pkwy
Ashburn VA 20147
Cary NC 27513
5d4eac5fdbbd22008e0b75131f961915",Complete STIR/SHAKEN Implementation
1331,0003749561,"Springville Cooperative Telephone Association, Inc.",319-854-6107,"207 Broadway
PO Box 9
Springville IA 52336","207 Broadway
Springville IA 52336",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1332,0020057618,"NGN Latam, Corp.",6463582596,"624 Travis Street
Suite 800
Shreveport LA 71101","1110 Brickell Ave Suite 310
Miami FL 33131",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1333,0009568379,Roseau Electric Cooperative,218-436-5203,"PO Box 100
Roseau MN 56751","222 South Main Street
Karlstad MN 56732",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1334,0029238219,Unicom Telecom Inc,973-750-4200,"1051 Bloomfield Ave
Suite 6
Clifton NJ 07012","1051 Bloomfield Ave Suite 6
Clifton NJ 07012",Complete STIR/SHAKEN Implementation
1335,0028227163,Callworks Corporation,4045194096,"28255 Steeplechase Lane
Fair Oaks TX 78015","28255 Steeplechase Lane
Fair Oaks TX 78015",Complete STIR/SHAKEN Implementation
1336,0020834776,"BluIP, Inc.",702-690-4455,"801 N Brand Ave
Suite 410
Glendale CA 91203","801 N Brand Ave
Glendale CA 91203",Complete STIR/SHAKEN Implementation
1337,0003736238,Green Hills Telephone Corporation,6606445411,"7926 NE State Route M
PO Box 227
Breckenridge MO 64625","7926 NE State Route M
Breckenridge MO 64625",Complete STIR/SHAKEN Implementation
1338,0025820523,Telnamix Ltd.,8338356269,"4176 West 130th St
Cleveland OH 44135","4172 West 130th St
Cleveland OH 44135",Complete STIR/SHAKEN Implementation
1339,0031078371,Sitenet LLC,6094061391,"222 CARLTON AVE
EWING NJ 08618","222 Carlton Ave
Ewing NJ 08618",Complete STIR/SHAKEN Implementation
1340,0004073680,Woodstock Telephone Company,507-658-3211,"337 Aetna St
PO Box C
Ruthton MN 56170","337 Aetna St
Ruthton MN 56170",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1341,0023318249,Tele Cloud LLC,9083781205,"1 Cattano Avenue
Suite 2
Morristown NJ 07960","1 Cattano Avenue
STE 2
Morristown NJ 07960",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1342,0003773579,Cochrane Cooperative Telephone Company,6082482323,"103 West Fifth Street
P.O. Box
Cochrane WI 54622","103 West Fifth Street
P.O. Box
Cochrane WI 54622",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1343,0020389763,Highland Communication Services,6186541519,"1115 Broadway
PO Box 218
Highland IL 62249","1115 Broadway
Highland IL 62249",Complete STIR/SHAKEN Implementation
1344,0022480487,"Metro Fibernet, LLC",317-981-8999,"11880 College Boulevard
Suite 100
Overland KS 66210","3701 Communications Way
Evansville IN 47715",Complete STIR/SHAKEN Implementation
1345,0020776142,Callvox,'+16465523364,"247 Water Street
Suite 303
Brooklyn NY 10014","247 Water Street
Brooklyn NY 10014",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1346,0003795697,Cass Telephone Company,2174527800,"100 Redbud Rd
PO Box 230
Virginia IL 62691","100 Redbud Rd
Virginia IL 62691",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1347,0002405215,"Faith, City of",605-967-2261,"206 Main St
PO Box 368
Faith SD 57626","206 Main St
Faith SD 57626",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1348,0018964817,"Televergence Solutions, Inc.",6465024010,"424 Church Street, Suite 2000
Nashville TN 37219","424 Church Street, Suite 2000
Nashville TN 37219",Complete STIR/SHAKEN Implementation
1349,0012088928,CMN-RUS LLC,317-981-8999,"11880 College Boulevard
Suite 100
Overland KS 66210","3701 Communications Way
Evansville IN 47715",Complete STIR/SHAKEN Implementation
1350,0002426831,Cheyenne River Sioux Tribe Telephone Authority,605.964.2600,"625 N. Main St.
Eagle Butte SD 57625","PO Box 810
Eagle Butte SD 57625",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1351,0003788254,"Bestline Communications, LP",5123289095,"500 Cap of TX Hwy N
Bldg 8 Ste 200
Austin TX 78746","500 Cap of TX Hwy N
Austin TX 78746",Complete STIR/SHAKEN Implementation
1352,0001584960,Alaska Telephone Company,9079033085,"PO Box 3222
Port Townsend WA 98368","PO Box 3222
Port Townsend WA 98368",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1353,0031001928,Tata Communications (UK) Limited,'+17035474900,"Vintners Place 68 Upper Thames Street
 EC4V3BJ London, United Kingdom","11911 Freedom Drive
Suite 250
Reston VA 20190",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1354,0001545748,The Ponderosa Telephone Co.,559-868-6307,"47034 Road 201
PO Box 21
O'Neals CA 93645","47671 Road 200
Oneals CA 93645
CA",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1355,0004365961,Jaguar Communications LLC,317-981-8999,"11880 College Boulevard
Suite 100
Overland KS 66210","3701 Communications Way
Evansville IN 47715",Complete STIR/SHAKEN Implementation
1356,0031001944,Tata Communications Deutschland GMBH,'+1-703-657-8414,"Hamburger Allee 2-4, Suite 15B
 60486 Frankfurt am Main, Germany","11911 Freedom Drive
Suite 250
Reston VA 20190",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1357,0001649847,TABLE TOP TELEPHONE COMPANY,520-820-6910,"P.O. Box 21
O'Neals CA 93645","600 N 2nd Ave
Ajo AZ 85321",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1358,0003748589,Preston Telephone Company,563-689-3811,"111 North Anna
PO Box 167
Preston IA 52069","111 N Anna St., P.O. Box 167
Preston IA 52069",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1359,0004345880,"Huntleigh Technology Group, Inc.",915-832-0100,"100 N. Stanton Street
SUITE 700
El Paso TX 79901","100 N. Stanton Street
Suite 700
El Paso TX 79901",Complete STIR/SHAKEN Implementation
1360,0009480302,Tata Communications (America) Inc.,703-657-8414,"11911 Freedom Drive
Suite 250
Reston VA 20190","11911 Freedom Drive
Suite 250`
Reston VA 20190",Complete STIR/SHAKEN Implementation
1361,0004980843,"Bettles Telephone, Inc.",9079033085,"PO Box 3222
Port Townsend WA 98368","PO Box 3222
Port Townsend WA 98368",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1362,0020901724,Jivetel LLC,845-364-7000,"2 Brooks Edge Dr
New City NY 10956","2 Brooks Edge Dr
New City NY 10956",Complete STIR/SHAKEN Implementation
1363,0004980876,"North Country Telephone, Inc.",9079033085,"PO Box 3222
Port Townsend WA 98368","PO Box 3222
Port Townsend WA 98368",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1364,0002477651,West River Telecommunications Cooperative,701-748-4250,"101 Main St West
PO Box 467
Hazen ND 58545","101 Main St West
Hazen ND 58545",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1365,0014085062,"Intelletrace, Inc.",415-493-2200,"936 B 7th Street
Suite 122
Novato CA 94945","936 B 7th Street
Novato CA 94945",Complete STIR/SHAKEN Implementation
1366,0027148584,"GoSEMO, LLC",5734715821,"1505 S Main
PO Box 520
SIKESTON MO 63801","1505 S Main
PO Box 520
SIKESTON MO 63801",Complete STIR/SHAKEN Implementation
1367,0021065867,"Community Cable & Broadband, Inc.",9183963019,"PO Box 307
Skiatook OK 74070","1550 W Rogers Blvd
Skiatook OK 74070",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1368,0003788940,Emily Cooperative Telephone Company,218-763-3000,"PO Box:100
Emily MN 56447","PO Box:100
Emily MN 56447",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1369,0025682071,"Tri-Co Technologies, LLC",218-763-3000,"PO Box 100
Emily MN 56447","PO Box 100
Emily MN 56447",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1370,0014855084,Kosmaz Technologies LLC,9253955100,"672 Camillo Road
Sierra Madre CA 91024","80W Sierra Madre Blvd #130
Sierra Madre CA 91024",Complete STIR/SHAKEN Implementation
1371,0002645497,Benton Cooperative Telephone Company,320-393-2115,"2220 125th St NW
Rice MN 56367","2220 125th St NW
Rice MN 56367",Partial STIR/SHAKEN Implementation - Performing Robocall Mitigation
1372,0002588192,Cooperative Telephone Company,319-647-3131,"704 3rd St
H
Victor IA 52347","704 3rd St
Victor IA 52347",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1373,0002594893,Northeast Iowa Telephone Co.,563-539-2122,"800 S. Main St.
PO Box 835
Monona IA 52159","800 S. Main St.
Monona IA 52159",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1374,0014540751,"NEIT Services, LLC",563-539-2122,"800 S. Main Street
Monona IA 52159","800 S. Main Street
Monona IA 52159",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1375,0002593655,Readlyn Telephone Company,563-539-2122,"121 Main St.
PO Box 159
Readlyn IA 50668","800 S. Main Street
Monona IA 52159",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1376,0013769708,Hunter Communications & Technologies LLC,5414141421,"1900 K Street NW, Suite 650
Washington DC 20006","801 Enterprise Drive
Central Point OR 97502",Complete STIR/SHAKEN Implementation
1377,0002594067,Oran Mutual Telephone Company,563-539-2122,"5038 Main Street
Oran IA 50664","800 S. Main Street
Monona IA 52159",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
1378,0024738536,Skype Communications US Corporation,425-722-1602,"One Microsoft Way
Redmond WA 98052","One Microsoft Way
Redmond WA 98052",Complete STIR/SHAKEN Implementation
1379,0024600348,Symbio Networks USA LLC,'+61-280088336,"Level 4, 580 George Street
New South Wales 2000 Sydney, Australia","Level 4, 580 George Street
New South Wales 2000 Sydney, Australia",No STIR/SHAKEN Implementation - Performing Robocall Mitigation
